datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2025-05-30T15:00:03.486039+00:00,Content Modification Time,LOG,Systemd journal,reo [systemd  pid: 1] Starting sysstat-collect.service - system activity accounting tool...,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:00:03.486275+00:00,Content Modification Time,LOG,Log File,[systemd  pid: 1] Starting sysstat-collect.service - system activity accounting tool...,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:00:03.499103+00:00,Content Modification Time,LOG,Systemd journal,reo [systemd  pid: 1] sysstat-collect.service: Deactivated successfully.,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:00:03.499137+00:00,Content Modification Time,LOG,Log File,[systemd  pid: 1] sysstat-collect.service: Deactivated successfully.,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:00:03.499440+00:00,Content Modification Time,LOG,Systemd journal,reo [systemd  pid: 1] Finished sysstat-collect.service - system activity accounting tool.,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:00:03.499466+00:00,Content Modification Time,LOG,Log File,[systemd  pid: 1] Finished sysstat-collect.service - system activity accounting tool.,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:05:01.722095+00:00,Content Modification Time,LOG,Systemd journal,reo [CRON  pid: 12309] pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0),systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:05:01.722554+00:00,Content Modification Time,LOG,Log File,[CRON  pid: 12309] pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0),text/syslog,EXT:/var/log/auth.log,-
2025-05-30T15:05:01.723201+00:00,Content Modification Time,LOG,Systemd journal,reo [CRON  pid: 12310] (root) CMD (command -v debian-sa1 > /dev/null && debian-sa1 1 1),systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:05:01.723359+00:00,Content Modification Time,LOG,Cron log,Cron ran: command -v debian-sa1 > /dev/null && debian-sa1 1 1 for user: root pid: 12310,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:05:01.729799+00:00,Content Modification Time,LOG,Systemd journal,reo [CRON  pid: 12309] pam_unix(cron:session): session closed for user root,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:05:01.729831+00:00,Content Modification Time,LOG,Log File,[CRON  pid: 12309] pam_unix(cron:session): session closed for user root,text/syslog,EXT:/var/log/auth.log,-
2025-05-30T15:10:00.354490+00:00,Content Modification Time,LOG,Systemd journal,reo [rtkit-daemon  pid: 1377] Successfully made thread 2285 of process 2257 owned by '1000' high priority at nice level 0.,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:10:00.354792+00:00,Content Modification Time,LOG,Log File,[rtkit-daemon  pid: 1377] Successfully made thread 2285 of process 2257 owned by '1000' high priority at nice level 0.,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:10:00.405806+00:00,Content Modification Time,LOG,Systemd journal,reo [rtkit-daemon  pid: 1377] Supervising 8 threads of 5 processes of 1 users.,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:10:00.405843+00:00,Content Modification Time,LOG,Log File,[rtkit-daemon  pid: 1377] Supervising 8 threads of 5 processes of 1 users.,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:10:00.407176+00:00,Content Modification Time,LOG,Systemd journal,reo [rtkit-daemon  pid: 1377] Supervising 7 threads of 4 processes of 1 users.,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:10:00.407195+00:00,Content Modification Time,LOG,Log File,[rtkit-daemon  pid: 1377] Supervising 7 threads of 4 processes of 1 users.,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:10:00.426784+00:00,Content Modification Time,LOG,Systemd journal,reo [systemd  pid: 1] Starting sysstat-collect.service - system activity accounting tool...,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:10:00.427278+00:00,Content Modification Time,LOG,Log File,[systemd  pid: 1] Starting sysstat-collect.service - system activity accounting tool...,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:10:00.428407+00:00,Content Modification Time,LOG,Systemd journal,reo [rtkit-daemon  pid: 1377] Supervising 7 threads of 4 processes of 1 users.,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:10:00.428429+00:00,Content Modification Time,LOG,Log File,[rtkit-daemon  pid: 1377] Supervising 7 threads of 4 processes of 1 users.,text/syslog,EXT:/var/log/syslog,-
2025-05-30T15:10:00.434557+00:00,Content Modification Time,LOG,Systemd journal,reo [rtkit-daemon  pid: 1377] Successfully made thread 2285 of process 2257 owned by '1000' RT at priority 20.,systemd_journal,EXT:/var/log/journal/6aef1e8dd4814dc4a1ed8dd0fcf60492/system.journal,-
2025-05-30T15:10:00.434584+00:00,Content Modification Time,LOG,Log File,[rtkit-daemon  pid: 1377] Successfully made thread 2285 of process 2257 owned by '1000' RT at priority 20.,text/syslog,EXT:/var/log/syslog,-
